Name,Position,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed,contact_score,power_score
james mccann,C,35.0,142.6,158.1,33.2,21.6,6.5,0.0,0.1191588785046729,38.7,9.7,0.3007153075822604,7.13,0.7616129032258065,0.7340526216165058,0.7985386221294363,0.6938,19.0,60.7,0.2,0.9,0.2419,0.3966,0.8009478672985781,0.3147,0.3157,0.1547,0.3608,0.3759,-0.0058,-0.0088,-0.0105,71.09,90.38,9.74,33.05,6.8,7.39,0.8097080548716145,100.9966712,94.79018975,69.33,0.3555404486743712,29.96,50.72,0.0,25.95,0.5992966088578991,0.6462735333497827
jarren duran,CF,28.0,514.7,570.4,141.4,78.7,38.2,10.6,0.324766355140187,132.0,44.5,0.32989985693848356,7.76,0.8870967741935485,0.8886996024985804,0.8867432150313153,0.8093,65.0,171.3,5.0,25.0,0.2659,0.4301,0.9160084254870984,0.3347,0.3338,0.1644,0.4221,0.4038,0.0091,0.0394,0.0132,74.11,91.42,11.14,33.89,9.05,7.67,0.8200844178684489,102.811557,95.88786493,67.15,0.46498980285520053,26.86,48.29,1.3,29.33,0.6911299287261959,0.7703825629974308
jesse winker,LF,31.0,197.2,232.3,47.3,31.0,10.4,1.0,0.11448598130841124,52.5,28.6,0.3018597997138771,11.91,0.7425806451612903,0.7020632216543631,0.852035490605428,0.6974,27.0,80.6,1.2,4.7,0.2228,0.3599,0.8048973143759873,0.3021,0.3219,0.1371,0.3482,0.3435,0.0074,0.011,0.0036,70.38,88.69,17.17,30.45,7.04,7.57,0.7061202954625395,99.70175731,94.1225419,67.0,0.43337865397688646,22.1,44.03,-2.7,25.43,0.6254325314681682,0.6162094161632953
joc pederson,DH,33.0,268.2,321.7,60.1,35.4,10.9,1.4,0.28971962616822433,69.8,40.9,0.3919885550786839,12.69,0.6596774193548387,0.7177739920499716,0.8494258872651357,0.7047,33.9,120.4,1.2,3.1,0.2402,0.4274,0.8241179568193785,0.3456,0.3576,0.1874,0.3314,0.3806,-0.0357,-0.0482,-0.0326,73.14,91.91,16.46,30.21,10.81,6.03,0.833626450932114,102.2516553,95.71418088,63.31,0.4170632222977567,24.62,44.04,-0.8,25.63,0.6145413474612804,0.6872368000808727
joey gallo,1B,0.0,123.3,144.4,20.8,8.9,4.5,0.2,0.16822429906542058,59.0,19.2,0.4185979971387698,6.59,0.27,0.3573727049025175,0.3739561586638831,0.3321,16.1,64.1,0.5,1.1,0.0817,0.1842,0.3865192206424434,0.1445,0.1415,0.1028,0.2173,0.212,0.002,0.0046,0.0023,36.5,45.75,13.11,15.56,7.79,3.6,0.4150545198733732,50.9699621,47.80715625,34.81,0.43337865397688646,20.74,23.01,0.1,13.27,0.3635821778222962,0.33982334145124704
jorge mateo,SS,30.0,151.7,164.9,32.5,19.6,8.5,1.0,0.07943925233644861,42.3,9.4,0.1613733905579401,5.8,0.6519354838709678,0.6204807874313837,0.6497912317327766,0.5768,13.7,68.9,2.1,17.3,0.2099,0.3184,0.6642969984202212,0.2546,0.2575,0.1085,0.3257,0.3297,-0.0078,0.0094,-0.0023,72.33,88.11,14.21,26.57,4.91,6.75,0.64315863524446,99.21679201,93.75848788,67.91,0.3667573079537729,28.4,53.07,-1.0,29.64,0.49614415438346593,0.5299529132716632
jose iglesias,3B,35.0,204.5,227.3,55.8,44.5,9.3,0.3,0.039719626168224303,35.2,14.6,0.6446351931330472,5.18,0.6987096774193549,0.5184554230550823,0.6988517745302714,0.5417,21.8,81.5,1.1,3.8,0.207,0.2592,0.6400737230121116,0.2347,0.2603,0.0522,0.2545,0.2442,0.0096,0.0147,0.0084,55.19,67.54,4.05,24.51,0.91,2.49,0.38480478367921206,76.62725183,73.55044366,46.84,0.676070700203943,13.51,37.95,0.0,22.43,0.683409614252286,0.4324636257896454
josh bell,DH,32.0,456.8,517.3,109.7,72.5,18.5,1.1,0.41121495327102814,99.3,51.9,0.46037195994277547,10.24,0.7680645161290324,0.7548741245504448,0.8421189979123173,0.7215,57.6,193.4,1.5,0.0,0.2515,0.4364,0.8351764086361242,0.337,0.3352,0.1854,0.3441,0.372,-0.0134,-0.0376,-0.0198,72.03,89.49,9.71,31.03,9.8,6.27,0.7585297221245164,101.4413913,94.91695628,70.08,0.41604350781781096,25.15,47.28,0.0,25.3,0.6583381477645223,0.7109640950350795
josh naylor,1B,28.0,474.8,530.4,129.9,83.4,25.8,0.5,0.47196261682242996,80.1,45.0,0.5716738197424893,8.45,0.8903225806451615,0.8652280901003219,0.8893528183716075,0.7979,86.3,203.4,2.2,14.8,0.2752,0.45,0.8988941548183254,0.3412,0.3423,0.1748,0.3708,0.3707,0.0008,0.0071,0.0002,72.11,89.49,11.69,32.18,7.71,7.06,0.7247625747449877,100.4422277,94.45677626,73.35,0.544867437117607,22.23,53.49,0.0,24.97,0.75721087107705,0.7685817117890776
justin turner,3B,40.0,319.1,365.9,81.5,55.7,16.4,0.0,0.2196261682242991,63.0,34.9,0.5221745350500716,9.34,0.7770967741935485,0.696384629945107,0.8290709812108559,0.6856,43.2,129.9,0.8,1.8,0.2511,0.3972,0.7959452343338599,0.3211,0.3308,0.1461,0.315,0.3408,-0.0102,-0.0293,-0.0188,65.96,88.33,17.79,38.04,4.62,7.27,0.5768554344002813,97.32815685,92.83328156,66.21,0.6587355540448674,16.15,46.52,0.0,25.31,0.7180323444403091,0.6069952798086061
