Name,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,WAR,ERA+,FIP,ERA,Position,player_age,strikeout_score,contact_score,overall_score
elvin rodriguez,47,43,13,6,2.5,0,4.5,10,3.5,0.47258338,0.860767327,0.8415,0.3535,0.189,0.4575,0.1784,0.3731,0.495238095,0.244,0.2089,0.216085271,0.2755,0.3143,-0.0199,-0.0196,-0.017,35.65,61.42,15.85,35.35,14.15,-5.25,-27.2,53.16403151,66.04985477,45.35,15.93,0.424466825,31.46,0.215841584,0,1,0,RP,27,0.484485581,-1.185702381,0.463800094
emilio pagan,205.5,184.8,35.5,20.6,7.7,0.4,6.8,56.2,17.5,0.687394008,0.576732673,0.8014,0.3574,0.2671,0.3755,0.2131,0.3856,0.35015873,0.2936,0.2836,0.326550388,0.3333,0.3666,-0.0145,-0.0282,-0.0209,71.77,89.64,21.8,32.25,8.46,-8,-42.24,79.13420482,94.38363101,73.35,22.34,0.691943128,53.05,0.271287129,0.107181918,0.887046632,0.598,RP,34,0.594457753,-2.036128254,0.438968258
erasmo ramirez,98.3,88.4,24,15.7,3.4,0.2,4.7,15.6,6.6,0.341718485,0.651608911,0.7642,0.4467,0.2925,0.2608,0.2491,0.4334,0.236507937,0.3115,0.3051,0.267926357,0.3377,0.3434,-0.0133,0.0133,-0.003,72.32,86.49,16.92,36.09,9.72,-2.61,-31.16,74.76243009,93.36169945,71.91,18.64,0.426836493,49.11,0.172277228,0.048851622,0.825561313,1.282,RP,35,0.414473547,-0.447938413,0.356423474
erick fedde,483.8,430.3,108.7,70.5,22,2.2,14,83.7,44.6,0.286319955,0.631188119,0.7956,0.3333,0.2633,0.4034,0.2165,0.3572,0.389206349,0.2753,0.2749,0.479166667,0.2796,0.3,-0.0121,-0.0239,-0.0149,57.48,71.68,11.97,27.12,6.43,-4.6,-31.76,63.25470884,75.42198588,52.42,10.34,0.311907583,35.45,0.489108911,0.272694131,0.351813472,3.83,SP,32,0.401539218,-1.01081873,0.384656811
framber valdez,697.5,625.8,143.2,98.5,29.6,2.9,12.2,167.2,54.9,0.583097795,0.612623762,0.7711,0.3434,0.2966,0.36,0.2463,0.3738,0.315873016,0.3059,0.3152,0.544573643,0.3304,0.3633,-0.0174,-0.0304,-0.0224,72.24,90.76,2.16,28.53,6.54,-4.21,-45.12,80.41724613,95.04465442,63.13,14.28,0.643364929,46.49,1,0.461903026,0.435233161,3.273,SP,31,0.599378298,-0.909175397,0.586125157
frankie montas,285.5,253.3,66,39.1,15.4,0.3,11.2,60.4,26.8,0.353306953,0.670173267,0.7781,0.393,0.2755,0.3315,0.2176,0.3744,0.303174603,0.2799,0.272,0.401162791,0.3313,0.3219,0.0043,0.0186,0.0076,57.66,71.04,11.35,26.11,8.51,-5.42,-32.18,61.38909878,75.64483546,55.68,13.56,0.425651659,38.91,0.251485149,0.09733868,0.755958549,1.452,SP,32,0.447954795,-1.276835079,0.382335766
freddy peralta,647.5,576.1,121.1,76.6,23.2,0.3,21,179,57.7,0.686263426,0.551361386,0.7909,0.3585,0.29,0.3515,0.2195,0.3711,0.304126984,0.297,0.2995,0.426356589,0.3482,0.3645,-0.0104,-0.0126,-0.0098,71.24,87.65,16.91,34.1,8.48,-5.59,-34.01,76.33847606,93.51987349,69.68,22,0.767180095,46.93,0.978217822,0.510390084,0.344041451,3.126,SP,29,0.631576651,-1.320904603,0.559581195
german marquez,249,224.6,68.3,41.3,16.7,2.7,7.6,40.8,19.3,0.382419446,0.445544554,0.7012,0.5064,0.3749,0.1187,0.281,0.4759,0.011746032,0.3615,0.3603,0.216569767,0.4204,0.3953,0.0178,0.0305,0.0178,58.3,92.18,13.55,31.29,9.47,-6.83,-50.9,82.17694204,96.13566699,68.65,12.11,0.526362559,47.8,0.215841584,0,1,0,SP,30,0.405057466,-1.761310794,0.367101682
gregory soto,222.2,191.6,44.2,31.2,9,0.6,3.4,58.5,22,0.651498021,0.49009901,0.7704,0.3334,0.324,0.3426,0.2196,0.3293,0.281587302,0.2911,0.3172,0.629360465,0.3431,0.338,0.01,0.0041,0.0032,71.12,88.91,9.24,32.68,5.05,-5.76,-38.95,77.70270297,94.2170236,63.88,20.95,0.769845972,47.15,0.267326733,0.393000365,0.41761658,3.925,RP,30,0.650295093,-1.37576254,0.340400527
griffin canning,492.4,441.4,111.4,74.5,17.2,2,17.7,101.8,44,0.505370266,0.532178218,0.7515,0.4052,0.3203,0.2745,0.2554,0.4378,0.208571429,0.3322,0.3274,0.277131783,0.3624,0.3854,-0.0069,-0.0326,-0.0149,72.06,90.95,10.75,31.92,9.24,-5.89,-43.26,80.87108644,94.98613266,66.62,15.44,0.619668246,47.1,0.415841584,0.359460445,0.230397237,4.306,SP,29,0.499373554,-1.435775714,0.307478021
