Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
kyle farmer,SS,571657,2024,33,215,242,46,27,13,1,5,49,19,20.2,7.9,0.214,0.353,0.293,0.646,25,100,5,3,0.225,0.361,0.285,0.294,0.304,0.136,0.309,0.322,-0.011,-0.008,-0.009,66.7,87.7,17.9,36.3,5.4,6,29.8,97.02559857,92.5474522,63.2,13.5,22,48.5,,25.9
rhys hoskins,DH,656555,2024,31,449,517,96,56,14,0,26,149,53,28.8,10.3,0.214,0.419,0.303,0.722,82,233,0,3,0.202,0.387,0.313,0.301,0.295,0.185,0.393,0.372,0.012,0.032,0.012,71.2,88.7,20.8,29.7,12.7,6.2,42.2,99.73743425,94.05789507,59.3,21.2,26.3,42.8,,25.3
austin hays,LF,669720,2024,28,235,255,60,37,18,0,5,59,9,23.1,3.5,0.255,0.396,0.303,0.699,20,93,2,2,0.234,0.363,0.303,0.287,0.285,0.13,0.368,0.344,0.021,0.033,0.016,72.6,88.9,14.9,30.2,6.7,7.8,40.2,100.4154227,94.34798243,72.6,18.1,29.1,54.4,-3,27.1
danny jansen,C,643376,2024,29,278,324,57,35,13,0,9,61,40,18.8,12.3,0.205,0.349,0.309,0.658,24,101,0,0,0.201,0.332,0.294,0.289,0.306,0.131,0.298,0.291,0.004,0.017,0.005,69,86.6,21.7,34.1,6.4,5.9,29.7,97.18569755,92.62734913,61.8,14.7,20.9,40.6,,26.6
mitch garver,C,641598,2024,33,367,430,63,31,17,0,15,133,53,30.9,12.3,0.172,0.341,0.286,0.627,51,187,0,0,0.18,0.335,0.281,0.285,0.295,0.155,0.335,0.343,-0.008,0.006,-0.004,71.2,89.9,18.3,32.5,8.4,7.2,39.7,99.98327627,94.25438106,57.6,21.4,30.8,38.7,,26
justin turner,3B,457759,2024,39,460,539,119,84,24,0,11,95,59,17.6,10.9,0.259,0.383,0.354,0.737,55,208,2,0,0.252,0.383,0.327,0.328,0.352,0.131,0.341,0.343,0.007,0,-0.001,65.1,87.1,17.8,40.1,4.6,6.7,32.5,96.70234231,92.43468075,65.7,11.5,17,45.4,,25.4
harrison bader,CF,664056,2024,30,402,437,95,64,19,0,12,95,21,21.7,4.8,0.236,0.373,0.284,0.657,51,179,8,17,0.242,0.377,0.285,0.294,0.292,0.135,0.335,0.348,-0.006,-0.004,-0.009,71.2,87.2,11.9,33.9,6.4,4.5,35.5,98.68569026,93.42080102,59.8,14.2,24.5,46.6,9,28.2
jarren duran,CF,680776,2024,27,671,735,191,108,48,14,21,160,54,21.8,7.3,0.285,0.492,0.342,0.834,75,205,7,34,0.271,0.448,0.357,0.338,0.33,0.177,0.429,0.403,0.014,0.044,0.019,73.6,90.8,9.5,33.8,9.3,6.2,43.9,101.9281555,95.34111321,68.2,15.7,24.8,48.3,10,29.6
ozzie albies,2B,645277,2024,27,399,435,100,60,29,1,10,65,27,14.9,6.2,0.251,0.404,0.303,0.707,53,149,1,8,0.246,0.387,0.307,0.302,0.301,0.14,0.329,0.323,0.005,0.017,0.005,69.1,88.4,18.4,33.4,6.2,4.7,32,97.09553947,92.6175538,82.6,15.5,20.5,56.6,,27.2
ramon laureano,RF,657656,2024,29,286,309,74,46,16,1,11,96,15,31.1,4.9,0.259,0.437,0.311,0.748,33,118,3,8,0.235,0.43,0.324,0.311,0.288,0.195,0.444,0.423,0.024,0.007,0.013,72.7,89.2,13.3,38.7,12.6,6.8,40.8,100.2546411,94.4925611,73.3,22.7,31.8,52.3,-7,27.8
