,Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
63,trevor story,SS,596115.0,2024.0,31.0,94.0,106.0,24.0,15.0,7.0,0.0,2.0,33.0,11.0,31.1,10.4,0.255,0.394,0.34,0.734,10.0,41.0,3.0,6.0,0.193,0.29,0.318,0.255,0.284,0.097,0.428,0.322,0.062,0.104,0.063,68.8,86.1,18.6,37.7,6.6,3.3,29.5,96.37601742,92.31155377,70.1,17.1,30.3,52.3,0.0,28.1
64,alex bregman,3B,608324.0,2024.0,30.0,581.0,634.0,151.0,93.0,30.0,2.0,26.0,86.0,44.0,13.6,6.9,0.26,0.453,0.315,0.768,75.0,269.0,1.0,3.0,0.257,0.417,0.331,0.319,0.314,0.16,0.353,0.338,0.003,0.036,0.012,71.3,89.1,18.2,34.9,6.4,7.4,40.5,98.98652795,93.68416098,65.6,8.7,12.8,44.9,0.0,26.7
65,tyler o'neill,LF,641933.0,2024.0,29.0,411.0,473.0,99.0,50.0,18.0,0.0,31.0,159.0,53.0,33.6,11.2,0.241,0.511,0.336,0.847,61.0,172.0,0.0,4.0,0.213,0.48,0.36,0.339,0.313,0.267,0.513,0.475,0.028,0.031,0.021,75.2,90.9,20.2,34.6,17.3,7.9,48.8,102.8197679,95.79760524,65.2,24.4,34.1,44.6,-4.0,27.5
66,elias diaz,C,553869.0,2024.0,33.0,325.0,351.0,86.0,60.0,20.0,0.0,6.0,69.0,20.0,19.7,5.7,0.265,0.382,0.313,0.695,39.0,152.0,0.0,0.0,0.242,0.343,0.303,0.28,0.293,0.101,0.35,0.319,0.023,0.039,0.023,73.9,87.1,7.6,31.0,4.7,4.3,34.5,99.03211906,93.54315234,76.1,18.4,27.8,53.8,0.0,24.4
67,thairo estrada,2B,642731.0,2024.0,28.0,364.0,381.0,79.0,53.0,15.0,2.0,9.0,76.0,10.0,19.9,2.6,0.217,0.343,0.247,0.59,47.0,179.0,2.0,2.0,0.226,0.338,0.256,0.263,0.257,0.112,0.301,0.309,-0.009,0.005,-0.007,71.0,86.2,10.5,30.3,4.8,5.9,31.7,97.31710125,92.67848746,67.5,9.9,20.5,51.3,0.0,28.0
68,randal grichuk,RF,545341.0,2024.0,32.0,254.0,279.0,74.0,40.0,20.0,2.0,12.0,46.0,20.0,16.5,7.2,0.291,0.528,0.348,0.876,46.0,121.0,0.0,0.0,0.278,0.483,0.373,0.359,0.338,0.206,0.42,0.401,0.013,0.045,0.014,73.7,90.6,17.3,34.3,11.0,7.6,47.6,102.4366337,95.6010481,67.6,11.3,20.4,47.3,-1.0,27.5
69,kyle farmer,SS,571657.0,2024.0,33.0,215.0,242.0,46.0,27.0,13.0,1.0,5.0,49.0,19.0,20.2,7.9,0.214,0.353,0.293,0.646,25.0,100.0,5.0,3.0,0.225,0.361,0.285,0.294,0.304,0.136,0.309,0.322,-0.011,-0.008,-0.009,66.7,87.7,17.9,36.3,5.4,6.0,29.8,97.02559857,92.5474522,63.2,13.5,22.0,48.5,0.0,25.9
70,rhys hoskins,DH,656555.0,2024.0,31.0,449.0,517.0,96.0,56.0,14.0,0.0,26.0,149.0,53.0,28.8,10.3,0.214,0.419,0.303,0.722,82.0,233.0,0.0,3.0,0.202,0.387,0.313,0.301,0.295,0.185,0.393,0.372,0.012,0.032,0.012,71.2,88.7,20.8,29.7,12.7,6.2,42.2,99.73743425,94.05789507,59.3,21.2,26.3,42.8,0.0,25.3
71,austin hays,LF,669720.0,2024.0,28.0,235.0,255.0,60.0,37.0,18.0,0.0,5.0,59.0,9.0,23.1,3.5,0.255,0.396,0.303,0.699,20.0,93.0,2.0,2.0,0.234,0.363,0.303,0.287,0.285,0.13,0.368,0.344,0.021,0.033,0.016,72.6,88.9,14.9,30.2,6.7,7.8,40.2,100.4154227,94.34798243,72.6,18.1,29.1,54.4,-3.0,27.1
72,danny jansen,C,643376.0,2024.0,29.0,278.0,324.0,57.0,35.0,13.0,0.0,9.0,61.0,40.0,18.8,12.3,0.205,0.349,0.309,0.658,24.0,101.0,0.0,0.0,0.201,0.332,0.294,0.289,0.306,0.131,0.298,0.291,0.004,0.017,0.005,69.0,86.6,21.7,34.1,6.4,5.9,29.7,97.18569755,92.62734913,61.8,14.7,20.9,40.6,0.0,26.6
73,mitch garver,C,641598.0,2024.0,33.0,367.0,430.0,63.0,31.0,17.0,0.0,15.0,133.0,53.0,30.9,12.3,0.172,0.341,0.286,0.627,51.0,187.0,0.0,0.0,0.18,0.335,0.281,0.285,0.295,0.155,0.335,0.343,-0.008,0.006,-0.004,71.2,89.9,18.3,32.5,8.4,7.2,39.7,99.98327627,94.25438106,57.6,21.4,30.8,38.7,0.0,26.0
74,justin turner,3B,457759.0,2024.0,39.0,460.0,539.0,119.0,84.0,24.0,0.0,11.0,95.0,59.0,17.6,10.9,0.259,0.383,0.354,0.737,55.0,208.0,2.0,0.0,0.252,0.383,0.327,0.328,0.352,0.131,0.341,0.343,0.007,0.0,-0.001,65.1,87.1,17.8,40.1,4.6,6.7,32.5,96.70234231,92.43468075,65.7,11.5,17.0,45.4,0.0,25.4
75,harrison bader,CF,664056.0,2024.0,30.0,402.0,437.0,95.0,64.0,19.0,0.0,12.0,95.0,21.0,21.7,4.8,0.236,0.373,0.284,0.657,51.0,179.0,8.0,17.0,0.242,0.377,0.285,0.294,0.292,0.135,0.335,0.348,-0.006,-0.004,-0.009,71.2,87.2,11.9,33.9,6.4,4.5,35.5,98.68569026,93.42080102,59.8,14.2,24.5,46.6,9.0,28.2
76,jarren duran,CF,680776.0,2024.0,27.0,671.0,735.0,191.0,108.0,48.0,14.0,21.0,160.0,54.0,21.8,7.3,0.285,0.492,0.342,0.834,75.0,205.0,7.0,34.0,0.271,0.448,0.357,0.338,0.33,0.177,0.429,0.403,0.014,0.044,0.019,73.6,90.8,9.5,33.8,9.3,6.2,43.9,101.9281555,95.34111321,68.2,15.7,24.8,48.3,10.0,29.6
77,ozzie albies,2B,645277.0,2024.0,27.0,399.0,435.0,100.0,60.0,29.0,1.0,10.0,65.0,27.0,14.9,6.2,0.251,0.404,0.303,0.707,53.0,149.0,1.0,8.0,0.246,0.387,0.307,0.302,0.301,0.14,0.329,0.323,0.005,0.017,0.005,69.1,88.4,18.4,33.4,6.2,4.7,32.0,97.09553947,92.6175538,82.6,15.5,20.5,56.6,0.0,27.2
78,ramon laureano,RF,657656.0,2024.0,29.0,286.0,309.0,74.0,46.0,16.0,1.0,11.0,96.0,15.0,31.1,4.9,0.259,0.437,0.311,0.748,33.0,118.0,3.0,8.0,0.235,0.43,0.324,0.311,0.288,0.195,0.444,0.423,0.024,0.007,0.013,72.7,89.2,13.3,38.7,12.6,6.8,40.8,100.2546411,94.4925611,73.3,22.7,31.8,52.3,-7.0,27.8
79,jorge mateo,SS,622761.0,2024.0,29.0,192.0,208.0,44.0,23.0,14.0,2.0,5.0,48.0,10.0,23.1,4.8,0.229,0.401,0.267,0.668,18.0,77.0,2.0,13.0,0.228,0.339,0.286,0.271,0.27,0.111,0.349,0.328,0.001,0.062,0.015,72.5,88.1,14.1,30.2,4.0,7.4,34.9,99.94372778,94.06045521,70.3,14.0,23.1,51.7,0.0,29.9
80,tom murphy,C,608596.0,2024.0,33.0,34.0,38.0,4.0,2.0,1.0,0.0,1.0,14.0,4.0,36.8,10.5,0.118,0.235,0.211,0.446,2.0,14.0,0.0,0.0,0.151,0.317,0.206,0.25,0.24,0.166,0.253,0.337,-0.033,-0.082,-0.044,72.4,87.4,4.5,35.0,10.0,15.0,35.0,100.157273,94.138457,58.8,23.4,36.9,42.8,0.0,26.1
81,luis robert jr.,CF,673357.0,2024.0,26.0,393.0,425.0,88.0,55.0,19.0,0.0,14.0,141.0,28.0,33.2,6.6,0.224,0.379,0.278,0.657,35.0,169.0,6.0,23.0,0.212,0.367,0.285,0.279,0.269,0.155,0.399,0.389,0.012,0.012,0.006,74.6,90.1,13.5,35.6,9.9,5.1,40.7,101.232869,94.88607694,72.7,23.4,36.1,53.1,1.0,28.8
82,taylor walls,SS,670764.0,2024.0,27.0,218.0,252.0,40.0,31.0,5.0,3.0,1.0,67.0,31.0,26.6,12.3,0.183,0.248,0.282,0.53,14.0,95.0,4.0,16.0,0.184,0.259,0.245,0.252,0.284,0.075,0.262,0.274,-0.001,-0.011,-0.007,67.3,86.1,18.2,29.9,3.2,5.2,24.0,95.08673461,91.54471026,69.3,18.6,25.0,45.1,0.0,27.8
83,salvador perez,C,521692.0,2024.0,34.0,590.0,652.0,160.0,105.0,28.0,0.0,27.0,129.0,44.0,19.8,6.7,0.271,0.456,0.33,0.786,104.0,236.0,0.0,0.0,0.275,0.522,0.335,0.36,0.334,0.248,0.392,0.427,-0.004,-0.066,-0.025,73.2,91.1,19.0,39.4,12.2,6.6,44.8,101.8562756,95.34185737,77.3,18.3,27.8,57.8,0.0,24.5
84,william contreras,C,661388.0,2024.0,26.0,595.0,679.0,167.0,105.0,37.0,2.0,23.0,139.0,78.0,20.5,11.5,0.281,0.466,0.365,0.831,92.0,224.0,2.0,9.0,0.269,0.471,0.359,0.358,0.356,0.202,0.412,0.411,0.012,-0.005,0.001,74.7,92.8,6.1,29.0,10.0,7.8,49.5,103.87548,96.64260253,71.0,19.3,27.8,47.4,0.0,26.4
85,brandon lowe,2B,664040.0,2024.0,29.0,385.0,425.0,94.0,51.0,19.0,3.0,21.0,112.0,33.0,26.4,7.8,0.244,0.473,0.311,0.784,58.0,152.0,1.0,5.0,0.252,0.482,0.335,0.343,0.318,0.23,0.424,0.437,-0.008,-0.009,-0.008,73.4,89.8,14.5,39.6,12.4,6.9,44.7,101.345776,94.9549512,80.3,23.7,32.7,55.3,0.0,27.2
86,max muncy,1B,571970.0,2024.0,33.0,237.0,293.0,55.0,23.0,17.0,0.0,15.0,77.0,45.0,26.3,15.4,0.232,0.494,0.358,0.852,48.0,145.0,0.0,1.0,0.229,0.448,0.362,0.349,0.357,0.22,0.436,0.414,0.003,0.046,0.013,71.3,90.2,26.6,32.5,10.8,11.4,43.4,100.7750152,94.75227874,63.7,23.8,31.0,40.6,0.0,26.9
87,max muncy,1B,571970.0,2024.0,33.0,237.0,293.0,55.0,23.0,17.0,0.0,15.0,77.0,45.0,26.3,15.4,0.232,0.494,0.358,0.852,48.0,145.0,0.0,1.0,0.229,0.448,0.362,0.349,0.357,0.22,0.436,0.414,0.003,0.046,0.013,71.3,90.2,26.6,32.5,10.8,11.4,43.4,100.7750152,94.75227874,63.7,23.8,31.0,40.6,0.0,26.9
88,tyler wade,SS,642180.0,2024.0,29.0,138.0,156.0,30.0,27.0,3.0,0.0,0.0,29.0,11.0,18.6,7.1,0.217,0.239,0.285,0.524,8.0,54.0,1.0,8.0,0.244,0.31,0.242,0.281,0.309,0.066,0.253,0.306,-0.027,-0.071,-0.039,66.2,83.7,14.5,38.1,1.8,2.7,17.7,93.38536392,90.89081178,62.4,11.4,20.8,44.1,0.0,28.7
