,Name,Position,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,WAR,ERA+,FIP,ERA
49,tim hill,RP,2024,34,290,265,77,68,7,0,2,31,19,10.7,6.6,0.291,0.34,0.339,0.679,0.263,0.323,0.3,0.292,0.319,0.061,0.307,0.298,0.028,0.017,0.008,70.7,88.0,-6.8,20.2,1.7,5.0,40.8,75.64673393,94.32560043,66.3,8.6,12.8,50.8,0.5,122,3.57,3.36
50,shawn armstrong,RP,2024,33,295,266,77,52,17,2,6,66,25,22.4,8.5,0.289,0.436,0.354,0.79,0.277,0.442,0.345,0.345,0.345,0.165,0.411,0.413,0.012,-0.006,0.0,71.5,88.9,16.7,36.6,8.9,4.0,38.1,77.5847539,94.1636783,68.7,19.1,22.9,50.9,-0.3,84,3.57,4.86
51,ryan helsley,RP,2024,29,266,238,50,41,6,0,3,79,23,29.7,8.6,0.21,0.273,0.275,0.548,0.212,0.301,0.243,0.257,0.28,0.089,0.306,0.328,-0.002,-0.028,-0.014,70.7,89.4,18.3,36.6,3.7,7.9,35.4,80.15601207,93.65712295,69.7,24.1,36.1,53.0,2.9,202,2.41,2.04
52,alex vesia,RP,2024,28,263,223,33,16,9,1,7,87,33,33.1,12.5,0.148,0.291,0.26,0.551,0.157,0.319,0.246,0.26,0.267,0.163,0.302,0.328,-0.009,-0.028,-0.014,71.5,87.5,30.0,29.3,12.1,3.6,35.0,76.24616485,93.46804103,70.0,26.2,31.3,47.5,1.6,227,3.45,1.76
53,brent suter,RP,2024,34,270,253,63,41,11,1,10,50,12,18.5,4.4,0.249,0.419,0.289,0.708,0.27,0.416,0.305,0.316,0.309,0.146,0.351,0.365,-0.021,0.003,-0.011,71.2,86.1,13.8,33.7,7.3,3.9,30.2,74.75766255,92.79307557,71.1,12.2,20.2,49.8,1.4,140,4.31,3.15
54,trevor richards,RP,2024,31,277,234,44,30,7,0,7,62,35,22.4,12.6,0.188,0.308,0.295,0.603,0.205,0.334,0.273,0.295,0.313,0.129,0.282,0.316,-0.017,-0.026,-0.022,70.3,88.3,18.8,31.1,6.8,5.6,37.9,78.11963557,93.44244619,62.7,14.7,23.4,44.2,-0.4,91,4.36,4.55
55,robert suarez,RP,2024,33,258,240,52,38,7,0,7,59,16,22.9,6.2,0.217,0.333,0.265,0.598,0.218,0.355,0.262,0.272,0.267,0.137,0.311,0.326,-0.001,-0.022,-0.01,70.6,89.0,16.0,30.6,7.7,4.4,40.4,78.547847,94.08298422,77.4,21.9,24.3,55.6,2.0,150,3.49,2.77
56,hoby milner,RP,2024,33,268,244,63,44,11,2,6,64,14,23.9,5.2,0.258,0.393,0.299,0.692,0.249,0.346,0.297,0.28,0.292,0.097,0.37,0.346,0.009,0.047,0.017,71.2,87.7,8.4,30.9,2.7,7.4,36.2,75.77361,93.94596254,59.0,16.4,19.3,43.2,-0.6,87,3.14,4.73
57,tyler kinley,RP,2024,33,285,246,61,34,14,2,11,72,33,25.3,11.6,0.248,0.455,0.338,0.793,0.244,0.408,0.341,0.325,0.336,0.164,0.414,0.39,0.004,0.047,0.016,71.3,87.5,15.5,37.6,9.0,5.1,33.1,75.74942557,93.74862783,71.2,20.8,33.1,50.0,-0.4,77,4.79,6.19
58,phil maton,RP,2024,31,265,231,47,30,8,2,7,60,24,22.6,9.1,0.203,0.346,0.303,0.649,0.239,0.385,0.29,0.32,0.334,0.147,0.316,0.362,-0.036,-0.039,-0.03,70.8,86.5,12.9,32.6,7.0,7.0,33.1,74.35492628,93.40446994,67.1,22.3,26.7,47.2,0.9,110,4.26,3.66
59,kyle finnegan,RP,2024,32,271,245,61,45,4,3,9,60,24,22.1,8.9,0.249,0.4,0.315,0.715,0.261,0.411,0.309,0.321,0.327,0.15,0.365,0.382,-0.012,-0.011,-0.012,71.7,91.3,10.6,31.6,7.0,8.0,48.1,80.41569495,95.62157714,72.4,18.2,23.1,53.2,1.0,112,4.25,3.68
60,matt strahm,RP,2024,32,237,217,36,20,12,0,4,79,11,33.3,4.6,0.166,0.276,0.224,0.5,0.187,0.309,0.221,0.243,0.243,0.121,0.29,0.327,-0.021,-0.033,-0.022,71.3,89.2,21.6,36.2,7.1,8.5,37.6,78.994658,93.95267821,70.0,22.0,26.7,53.1,2.5,227,2.29,1.87
61,aroldis chapman,RP,2024,36,264,222,44,29,9,1,5,98,38,37.1,14.4,0.198,0.315,0.318,0.633,0.165,0.282,0.289,0.268,0.293,0.117,0.386,0.344,0.033,0.033,0.021,71.0,90.5,11.2,31.0,7.1,5.6,41.3,80.3985429,94.66331355,62.1,23.7,32.3,44.5,0.4,109,3.04,3.79
62,kirby yates,RP,2024,37,237,203,23,15,5,0,3,85,28,35.9,11.8,0.113,0.182,0.225,0.407,0.145,0.214,0.186,0.212,0.253,0.068,0.212,0.262,-0.032,-0.032,-0.026,71.2,87.5,15.2,16.5,4.1,2.5,33.1,77.03891787,93.21349736,67.6,28.6,33.6,49.3,3.3,326,2.5,1.17
63,taylor rogers,RP,2024,33,249,224,53,32,13,1,7,64,22,25.7,8.8,0.237,0.397,0.309,0.706,0.215,0.335,0.309,0.282,0.292,0.12,0.376,0.333,0.022,0.062,0.027,70.3,86.7,12.3,32.3,6.2,4.3,32.9,74.55486025,93.4377415,61.2,17.3,23.3,42.5,1.1,161,3.75,2.4
64,pierce johnson,RP,2024,33,236,209,48,33,8,1,6,67,25,28.4,10.6,0.23,0.364,0.318,0.682,0.224,0.368,0.302,0.302,0.313,0.145,0.373,0.373,0.006,-0.004,0.0,71.5,89.4,11.7,33.8,8.5,6.3,39.4,79.0014093,94.0271843,61.0,18.8,28.1,45.1,0.7,113,3.61,3.67
65,andrew chafin,RP,2024,34,246,211,52,42,5,0,5,70,31,28.5,12.6,0.246,0.341,0.341,0.682,0.222,0.347,0.301,0.296,0.323,0.124,0.372,0.363,0.024,-0.006,0.005,70.7,88.5,15.0,37.5,6.3,7.6,34.0,78.83767042,93.22795818,66.5,15.5,34.5,46.1,0.5,116,3.54,3.51
66,shelby miller,RP,2024,33,225,203,41,22,10,0,9,49,13,21.8,5.8,0.202,0.384,0.262,0.646,0.222,0.389,0.28,0.3,0.285,0.167,0.319,0.348,-0.02,-0.005,-0.02,70.3,91.1,16.8,31.0,7.6,5.7,41.1,82.00980848,94.57693247,69.0,17.6,24.3,49.3,0.0,92,4.48,4.53
67,ryne stanek,RP,2024,32,241,212,48,32,6,2,8,67,25,27.8,10.4,0.226,0.387,0.315,0.702,0.205,0.356,0.307,0.288,0.297,0.151,0.379,0.348,0.021,0.031,0.019,71.2,90.2,19.0,34.2,9.6,7.5,41.8,80.9713848,94.14618586,72.6,27.3,33.2,51.5,-0.6,78,4.14,4.88
68,scott barlow,RP,2024,31,241,204,44,27,11,0,6,68,31,28.2,12.9,0.216,0.358,0.328,0.686,0.231,0.363,0.306,0.315,0.341,0.131,0.362,0.378,-0.015,-0.005,-0.009,70.8,86.2,9.0,33.3,5.8,2.9,32.6,73.84679246,93.29885116,64.5,19.4,33.6,42.6,0.2,95,4.02,4.25
69,kenley jansen,RP,2024,36,218,194,38,25,9,0,4,62,20,28.4,9.2,0.196,0.304,0.271,0.575,0.208,0.352,0.253,0.28,0.285,0.144,0.308,0.352,-0.012,-0.048,-0.027,71.1,90.4,22.3,36.3,11.1,4.4,37.0,81.42870806,94.00721202,67.4,19.9,27.0,49.4,1.3,127,3.0,3.29
70,caleb ferguson,RP,2024,27,249,219,56,39,11,0,6,67,25,26.9,10.0,0.256,0.388,0.341,0.729,0.243,0.371,0.322,0.313,0.332,0.128,0.395,0.381,0.013,0.017,0.009,71.0,88.2,9.9,35.9,6.5,3.3,37.3,76.92021961,93.76948533,65.5,17.2,26.6,47.1,-0.5,88,3.74,4.64
71,gregory soto,RP,2024,29,244,206,56,40,10,2,4,65,27,26.6,11.1,0.272,0.398,0.374,0.772,0.236,0.372,0.34,0.322,0.348,0.136,0.414,0.384,0.036,0.026,0.018,70.6,88.6,6.2,34.7,7.6,4.9,43.8,77.25008,94.26132113,64.9,17.8,31.0,47.1,0.2,94,3.68,4.42
72,hunter harvey,RP,2024,29,219,197,51,26,19,1,5,55,16,25.1,7.3,0.259,0.442,0.33,0.772,0.279,0.454,0.333,0.347,0.349,0.175,0.413,0.434,-0.02,-0.012,-0.014,71.4,90.4,10.9,37.8,9.1,9.8,48.3,79.35715296,95.30497511,68.9,22.8,27.1,51.3,-0.1,94,3.52,4.44
73,caleb thielbar,RP,2024,37,216,188,50,35,9,0,6,53,24,24.5,11.1,0.266,0.41,0.344,0.754,0.238,0.393,0.327,0.315,0.324,0.154,0.395,0.376,0.028,0.017,0.012,70.2,88.3,16.2,34.5,10.1,5.0,33.8,77.09406812,93.81948861,68.7,21.0,24.7,48.4,-0.6,78,4.1,5.32
